kab_kota,kecamata,key_join,pred_kerawanan
Kab. Bandung,Arjasari,ARJASARI,Rendah
Kab. Bandung,Baleendah,BALEENDAH,Tinggi
Kab. Bandung,Banjaran,BANJARAN,Sedang
Kab. Bandung,Bojongsoang,BOJONGSOANG,Sangat Tinggi
Kab. Bandung,Cangkuang,CANGKUANG,Sedang
Kab. Bandung,Cicalengka,CICALENGKA,Sedang
Kab. Bandung,Cikancung,CIKANCUNG,Sedang
Kab. Bandung,Cilengkrang,CILENGKRANG,Rendah
Kab. Bandung,Cileunyi,CILEUNYI,Tinggi
Kab. Bandung,Cimaung,CIMAUNG,Rendah
Kab. Bandung,Cimenyan,CIMENYAN,Rendah
Kab. Bandung,Ciparay,CIPARAY,Tinggi
Kab. Bandung,Ciwidey,CIWIDEY,Rendah
Kab. Bandung,Dayeuhkolot,DAYEUHKOLOT,Sangat Tinggi
Kab. Bandung,Ibun,IBUN,Rendah
Kab. Bandung,Katapang,KATAPANG,Sangat Tinggi
Kab. Bandung,Kertasari,KERTASARI,Rendah
Kab. Bandung,Kutawaringin,KUTAWARINGIN,Sedang
Kab. Bandung,Majalaya,MAJALAYA,Tinggi
Kab. Bandung,Margaasih,MARGAASIH,Tinggi
Kab. Bandung,Margahayu,MARGAHAYU,Sangat Tinggi
Kab. Bandung,Nagreg,NAGREG,Rendah
Kab. Bandung,Pacet,PACET,Rendah
Kab. Bandung,Pameungpeuk,PAMEUNGPEUK,Sangat Tinggi
Kab. Bandung,Pangalengan,PANGALENGAN,Rendah
Kab. Bandung,Paseh,PASEH,Sedang
Kab. Bandung,Pasirjambu,PASIRJAMBU,Rendah
Kab. Bandung,Rancabali,RANCABALI,Rendah
Kab. Bandung,Rancaekek,RANCAEKEK,Sangat Tinggi
Kab. Bandung,Solokanjeruk,SOLOKANJERUK,Sangat Tinggi
Kab. Bandung,Soreang,SOREANG,Sedang
Kab. Bandung Barat,Batujajar,BATUJAJAR,Tinggi
Kab. Bandung Barat,Cihampelas,CIHAMPELAS,Tinggi
Kab. Bandung Barat,Cikalongwetan,CIKALONGWETAN,Rendah
Kab. Bandung Barat,Cililin,CILILIN,Sedang
Kab. Bandung Barat,Cipatat,CIPATAT,Rendah
Kab. Bandung Barat,Cipeundeuy,CIPEUNDEUY,Tinggi
Kab. Bandung Barat,Cipongkor,CIPONGKOR,Sedang
Kab. Bandung Barat,Cisarua,CISARUA,Rendah
Kab. Bandung Barat,Gununghalu,GUNUNGHALU,Rendah
Kab. Bandung Barat,Lembang,LEMBANG,Rendah
Kab. Bandung Barat,Ngamprah,NGAMPRAH,Sedang
Kab. Bandung Barat,Padalarang,PADALARANG,Sedang
Kab. Bandung Barat,Parongpong,PARONGPONG,Rendah
Kab. Bandung Barat,Rongga,RONGGA,Rendah
Kab. Bandung Barat,Saguling,SAGULING,Sedang
Kab. Bandung Barat,Sindangkerta,SINDANGKERTA,Rendah
Kota Cimahi,Cimahi Selatan,CIMAHI SELATAN,Tinggi
Kota Cimahi,Cimahi Tengah,CIMAHI TENGAH,Tinggi
Kota Cimahi,Cimahi Utara,CIMAHI UTARA,Sedang
kota Bandung,Andir,ANDIR,Sangat Tinggi
kota Bandung,Antapani,ANTAPANI,Sangat Tinggi
kota Bandung,Arcamanik,ARCAMANIK,Sangat Tinggi
kota Bandung,Astana Anyar,ASTANA ANYAR,Sangat Tinggi
kota Bandung,Babakan Ciparay,BABAKAN CIPARAY,Sangat Tinggi
kota Bandung,Bandung Kidul,BANDUNG KIDUL,Sangat Tinggi
kota Bandung,Bandung Kulon,BANDUNG KULON,Sangat Tinggi
kota Bandung,Bandung Wetan,BANDUNG WETAN,Tinggi
kota Bandung,Batununggal,BATUNUNGGAL,Sangat Tinggi
kota Bandung,Bojongloa Kaler,BOJONGLOA KALER,Tinggi
kota Bandung,Bojongloa Kidul,BOJONGLOA KIDUL,Sangat Tinggi
kota Bandung,Buahbatu,BUAHBATU,Sangat Tinggi
kota Bandung,Cibeunying Kaler,CIBEUNYING KALER,Sedang
kota Bandung,Cibeunying Kidul,CIBEUNYING KIDUL,Sangat Tinggi
kota Bandung,Cibiru,CIBIRU,Sedang
kota Bandung,Cicendo,CICENDO,Tinggi
kota Bandung,Cidadap,CIDADAP,Sedang
kota Bandung,Cinambo,CINAMBO,Sangat Tinggi
kota Bandung,Coblong,COBLONG,Sedang
kota Bandung,Gedebage,GEDEBAGE,Sangat Tinggi
kota Bandung,Kiaracondong,KIARACONDONG,Sangat Tinggi
kota Bandung,Lengkong,LENGKONG,Sangat Tinggi
kota Bandung,Mandalajati,MANDALAJATI,Sedang
kota Bandung,Panyileukan,PANYILEUKAN,Sangat Tinggi
kota Bandung,Rancasari,RANCASARI,Sangat Tinggi
kota Bandung,Regol,REGOL,Sangat Tinggi
kota Bandung,Sukajadi,SUKAJADI,Tinggi
kota Bandung,Sukasari,SUKASARI,Sedang
kota Bandung,Sumur Bandung,SUMUR BANDUNG,Tinggi
kota Bandung,Ujungberung,UJUNGBERUNG,Sedang
